,city,REGION,CITY-NAME,CITY-CODE
0,hyderabad,ts,hyderabad,14361
1,bangalore,ka,bangalore,11115
2,mumbai,mh,mumbai,34785
3,pune,mh,pune,7387
4,chennai,tn,chennai,19586
5,delhi,dl,delhi,10358
6,delhi,mp,delhi,738066
7,patna,br,patna,14696
8,patna,cg,patna,1336207
9,patna,hp,patna,1338110
10,patna,jh,patna,726217
11,patna,ka,patna,726248
12,patna,mp,patna,1345254
13,patna,od,patna,1346417
14,patna,rj,patna,1348925
15,patna,uk,patna,1355282
16,patna,up,patna,149320
17,patna,wb,patna,1355828
18,lucknow,up,lucknow,14382
19,ahmedabad,gj,ahmedabad,148387
20,ahmedabad,up,ahmedabad,1350029
21,coimbatore,tn,coimbatore,14530
22,calcutta,wb,calcutta,10326
23,jaipur,ar,jaipur,1333371
24,jaipur,as,jaipur,1333436
25,jaipur,br,jaipur,1334195
26,jaipur,hr,jaipur,1338818
27,jaipur,jh,jaipur,1339833
28,jaipur,mh,jaipur,1341683
29,jaipur,od,jaipur,1346206
30,jaipur,pb,jaipur,1346913
31,jaipur,rj,jaipur,39767
32,jaipur,ts,jaipur,1349499
33,jaipur,uk,jaipur,1354943
34,jaipur,up,jaipur,1351940
35,madurai,tn,madurai,14387
36,indore,mp,indore,43815
37,bhopal,mp,bhopal,14392
38,kanpur,gj,kanpur,1336759
39,kanpur,hp,kanpur,1337699
40,kanpur,mp,kanpur,1344181
41,kanpur,od,kanpur,726420
42,kanpur,rj,kanpur,1348390
43,kanpur,up,kanpur,14385
44,kanpur,wb,kanpur,1355709
45,nagpur city,mh,nagpur city,14384
46,ernakulam,kl,ernakulam,62588
47,chakpanchuria,wb,chakpanchuria,597447
48,visakhapatnam,ap,visakhapatnam,39542
49,midnapore,wb,midnapore,149412
50,tiruvallur,tn,tiruvallur,149219
51,khurda,hr,khurda,1338961
52,khurda,mp,khurda,1344449
53,khurda,up,khurda,1352502
54,gurgaon,br,gurgaon,1334120
55,gurgaon,hr,gurgaon,16050
56,gurgaon,jh,gurgaon,1339789
57,gurgaon,up,gurgaon,1351735
58,kanchipuram,ap,kanchipuram,1333176
59,kanchipuram,tn,kanchipuram,63950
60,darjeeling,wb,darjeeling,149377
61,thiruvananthapuram,kl,thiruvananthapuram,20019
62,kolhapur,mh,kolhapur,14693
63,calicut,an,calicut,661064
64,calicut,kl,calicut,148654
65,ludhiana,pb,ludhiana,14531
66,allahabad,gj,allahabad,1336541
67,allahabad,hr,allahabad,1338398
68,allahabad,up,allahabad,14363
69,nashik,mh,nashik,48471
70,malappuram,kl,malappuram,62593
71,bhagawatipara,as,bhagawatipara,602500
72,chandigarh,ch,chandigarh,14381
73,tiruchirappalli,tn,tiruchirappalli,149215
74,surat,gj,surat,14394
75,surat,up,surat,1354337
76,krishnanagar,ap,krishnanagar,1333206
77,krishnanagar,cg,krishnanagar,1335951
78,krishnanagar,gj,krishnanagar,1336815
79,krishnanagar,ka,krishnanagar,1340928
80,krishnanagar,tr,krishnanagar,1349983
81,krishnanagar,up,krishnanagar,1352589
82,krishnanagar,wb,krishnanagar,63873
83,thane,mh,thane,63905
84,guntur,ap,guntur,63933
85,guntur,mh,guntur,1341617
86,kalyan city,mh,kalyan city,45106
87,guwahati,as,guwahati,14523
88,nuni,wb,nuni,938338
89,secunderabad,ts,secunderabad,63921
90,thrissur,kl,thrissur,148703
91,salem,ga,salem,1336533
92,salem,tn,salem,44587
93,anantapur,ap,anantapur,148132
94,anantapur,ka,anantapur,1340727
95,anantapur,od,anantapur,582933
96,anantapur,ts,anantapur,726494
97,anantapur,up,anantapur,1350123
98,anantapur,wb,anantapur,1355485
99,ghaziabad,up,ghaziabad,39922
100,haridwar,uk,haridwar,41469
101,faridabad city,hr,faridabad city,14364
102,howrah,wb,howrah,149394
103,tirunelveli,tn,tirunelveli,44750
104,warangal,ts,warangal,14520
105,karimnagar,ts,karimnagar,63920
106,karimnagar,up,karimnagar,1352251
107,karimnagar,wb,karimnagar,1355715
108,dehradun,uk,dehradun,14380
109,vellore,tn,vellore,14698
110,chittoor,ap,chittoor,48261
111,morbi,gj,morbi,248365
112,vadodara,gj,vadodara,14521
113,jodhpur,br,jodhpur,1334231
114,jodhpur,gj,jodhpur,1336743
115,jodhpur,hp,jodhpur,1337635
116,jodhpur,hr,jodhpur,1338855
117,jodhpur,jk,jodhpur,1340486
118,jodhpur,mp,jodhpur,1344047
119,jodhpur,od,jodhpur,1346225
120,jodhpur,pb,jodhpur,1346934
121,jodhpur,rj,jodhpur,48601
122,jodhpur,up,jodhpur,1352064
123,kottayam,kl,kottayam,14388
124,vijayawada,ap,vijayawada,14522
125,kannur,ka,kannur,1340886
126,kannur,kl,kannur,148670
127,kannur,tn,kannur,1349898
128,kannur,ts,kannur,1349523
129,gautam buddha nagar,up,gautam buddha nagar,265631
130,murshidabad,up,murshidabad,1353184
131,murshidabad,wb,murshidabad,149414
132,kullu,hp,kullu,626761
133,kullu,jh,kullu,1339960
134,kullu,mp,kullu,1344561
135,jalandhar city,pb,jalandhar city,48163
136,varanasi,up,varanasi,14527
137,shimla,hp,shimla,148511
138,shimla,rj,shimla,726485
139,shimla,up,shimla,1354153
140,faridpur durgapur,wb,faridpur durgapur,665008
141,hayatnagar,ts,hayatnagar,1349483
142,hayatnagar,up,hayatnagar,901518
143,navimumbai,mh,navimumbai,664977
144,hooghly,wb,hooghly,149393
145,palakkad,kl,palakkad,148691
146,alappuzha,kl,alappuzha,148651
147,jamshedpur,jh,jamshedpur,43193
148,jamshedpur,ts,jamshedpur,1349506
149,ambarnath,mh,ambarnath,726303
150,bandlaguda,ts,bandlaguda,871211
151,agra,br,agra,1333505
152,agra,jh,agra,1339426
153,agra,mh,agra,1341185
154,agra,mp,agra,1342495
155,agra,uk,agra,1354565
156,agra,up,agra,149238
157,imphal,mn,imphal,62568
158,barrackpore,wb,barrackpore,63884
159,manipur,br,manipur,1334591
160,manipur,hr,manipur,1339064
161,manipur,jh,manipur,1340039
162,manipur,ml,manipur,1342473
163,manipur,mp,manipur,1344824
164,manipur,od,manipur,928844
165,manipur,uk,manipur,1355162
166,manipur,up,manipur,1353002
167,manipur,wb,manipur,1355780
168,kollam,kl,kollam,62594
169,kollam,ts,kollam,1349545
170,nellore,ap,nellore,44438
171,kurnool,ap,kurnool,63936
172,kukatpally,ts,kukatpally,148179
173,solapur,jh,solapur,1340296
174,solapur,mh,solapur,14692
175,rajkot,gj,rajkot,44437
176,rajkot,rj,rajkot,1348969
177,rajkot,up,rajkot,1353753
178,shaikpet,ts,shaikpet,955307
179,erode,tn,erode,41467
180,dindigul,tn,dindigul,63965
181,raipur,as,raipur,1333475
182,raipur,br,raipur,1334851
183,raipur,cg,raipur,148324
184,raipur,gj,raipur,1336947
185,raipur,hp,raipur,1338132
186,raipur,hr,raipur,1339215
187,raipur,jk,raipur,1340642
188,raipur,mh,raipur,1342216
189,raipur,mp,raipur,726394
190,raipur,od,raipur,1346434
191,raipur,pb,raipur,1347248
192,raipur,rj,raipur,1348963
193,raipur,ts,raipur,1349735
194,raipur,uk,raipur,741074
195,raipur,up,raipur,726613
196,raipur,wb,raipur,1355845
197,belgaum,ka,belgaum,14534
198,panipat,hr,panipat,43814
199,aurangabad,ap,aurangabad,1333092
200,aurangabad,br,aurangabad,265648
201,aurangabad,hr,aurangabad,148513
202,aurangabad,mh,aurangabad,14383
203,aurangabad,ts,aurangabad,1349348
204,aurangabad,uk,aurangabad,1354590
205,aurangabad,up,aurangabad,1350198
206,aurangabad,wb,aurangabad,1355489
207,kamalpur,as,kamalpur,1333443
208,kamalpur,br,kamalpur,1334272
209,kamalpur,gj,kamalpur,1336754
210,kamalpur,hr,kamalpur,1338885
211,kamalpur,jh,kamalpur,1339877
212,kamalpur,mh,kamalpur,1341742
213,kamalpur,mp,kamalpur,1344142
214,kamalpur,od,kamalpur,1346238
215,kamalpur,pb,kamalpur,1346965
216,kamalpur,rj,kamalpur,1348361
217,kamalpur,tr,kamalpur,726578
218,kamalpur,up,kamalpur,1352160
219,kamalpur,wb,kamalpur,1355700
220,mysore,ka,mysore,14379
221,bindapur,hr,bindapur,879151
222,bhiwandi,mh,bhiwandi,62780
223,ongole,ap,ongole,63940
224,rampur,as,rampur,1333479
225,rampur,br,rampur,1334872
226,rampur,cg,rampur,1336271
227,rampur,gj,rampur,1336952
228,rampur,hp,rampur,740568
229,rampur,hr,rampur,1339228
230,rampur,jh,rampur,1340193
231,rampur,jk,rampur,1340649
232,rampur,ka,rampur,1341051
233,rampur,mh,rampur,1342237
234,rampur,mp,rampur,1345392
235,rampur,od,rampur,1346448
236,rampur,pb,rampur,1347261
237,rampur,rj,rampur,1348984
238,rampur,ts,rampur,1349760
239,rampur,uk,rampur,1355318
240,rampur,up,rampur,63827
241,rampur,wb,rampur,603722
242,khammam,ts,khammam,63924
243,thakarwal,pb,thakarwal,962381
244,bahadurpura,mp,bahadurpura,1342690
245,bahadurpura,rj,bahadurpura,1347595
246,bahadurpura,ts,bahadurpura,1349355
247,bahadurpura,up,bahadurpura,869092
248,gandhinagar,ap,gandhinagar,595822
249,gandhinagar,gj,gandhinagar,7996
250,gandhinagar,jk,gandhinagar,1340445
251,gandhinagar,ka,gandhinagar,1340808
252,gandhinagar,mh,gandhinagar,1341564
