tag,_c1
net.acuity.city.vadapalani,M_CHE
net.acuity.city.adyar,M_CHE
net.acuity.city.allahabad,M_ALAGVA
net.acuity.city.badarpur,M_NCR
net.acuity.city.amritsar,M_AMLU
net.acuity.city.avadi,M_CHE
net.acuity.city.gachibowli,M_HYD
net.acuity.city.nandi,M_BEN
net.acuity.city.varanasi,M_ALAGVA
net.acuity.city.chakpanchuria,M_KOL
net.acuity.city.hyderabad,M_HYD
net.acuity.city.mahim,M_MUM
net.acuity.city.hassan,M_BEN
net.acuity.city.alipur,M_NCR
net.acuity.city.shahdara,M_NCR
net.acuity.city.worli,M_MUM
net.acuity.city.kanchipuram,M_CHE
net.acuity.city.bangalore,M_BEN
net.acuity.city.narsapur,M_HYD
net.acuity.city.tambaram,M_CHE
net.acuity.city.bally,M_KOL
net.acuity.city.pune,M_PUN
net.acuity.city.noida,M_NCR
net.acuity.city.anekal,M_BEN
net.acuity.city.alipore,M_KOL
net.acuity.city.patna,M_1PT
net.acuity.city.jharoda_kalan,M_NCR
net.acuity.city.bhopal,M_1PT
net.acuity.city.begampet,M_HYD
net.acuity.city.ulhasnagar,M_MUM
net.acuity.city.vashi,M_MUM
net.acuity.city.mehrauli,M_NCR
net.acuity.city.chromepet,M_CHE
net.acuity.city.boisar,M_MUM
net.acuity.city.ambattur,M_CHE
net.acuity.city.kilpauk,M_CHE
net.acuity.city.chandigarh,M_CHA
net.acuity.city.choolai,M_CHE
net.acuity.city.vishakhapatnam,M_VISVIJ
net.acuity.city.konnagar,M_KOL
net.acuity.city.kodambakkam,M_CHE
net.acuity.city.bandra_west,M_MUM
net.acuity.city.tardeo,M_MUM
net.acuity.city.kurla,M_MUM
net.acuity.city.belapur,M_MUM
net.acuity.city.kolkata,M_KOL
net.acuity.city.kamarhati,M_KOL
net.acuity.city.bhiwandi,M_MUM
net.acuity.city.delhi,M_NCR
net.acuity.city.bhubaneswar,M_BHU
net.acuity.city.nashik,M_NAG
net.acuity.city.madipakkam,M_CHE
net.acuity.city.jaipur,M_1PT
net.acuity.city.chattarpur,M_NCR
net.acuity.city.gangaram,M_HYD
net.acuity.city.faridabad_city,M_NCR
net.acuity.city.dehradun,M_DUN
net.acuity.city.vikhroli,M_MUM
net.acuity.city.narela,M_NCR
net.acuity.city.ahmedabad,M_AHM
net.acuity.city.goregaon,M_MUM
net.acuity.city.nelamangala,M_BEN
net.acuity.city.tiruvottiyur,M_CHE
net.acuity.city.calcutta,M_KOL
net.acuity.city.connaught_place,M_NCR
net.acuity.city.bawana,M_NCR
net.acuity.city.chetput,M_CHE
net.acuity.city.ghaziabad,M_NCR
net.acuity.city.perambur,M_CHE
net.acuity.city.porur,M_CHE
net.acuity.city.palghar,M_MUM
net.acuity.city.patancheru,M_HYD
net.acuity.city.new_delhi,M_NCR
net.acuity.city.darya_ganj,M_NCR
net.acuity.city.lucknow,M_1PT
net.acuity.city.howrah,M_KOL
net.acuity.city.belgharia,M_KOL
net.acuity.city.bagalur,M_BEN
net.acuity.city.kanpur,M_1PT
net.acuity.city.kalyan_city,M_MUM
net.acuity.city.mumbai,M_MUM
net.acuity.city.trimulgherry,M_HYD
net.acuity.city.teynampet,M_CHE
net.acuity.city.trombay,M_MUM
net.acuity.city.new_town,M_KOL
net.acuity.city.malad,M_MUM
net.acuity.city.tollygunge,M_KOL
net.acuity.city.wadala,M_MUM
net.acuity.city.uttarpara,M_KOL
net.acuity.city.nizampet,M_HYD
net.acuity.city.ernakulam,M_1PT
net.acuity.city.bankra,M_KOL
net.acuity.city.thippasandra,M_BEN
net.acuity.city.samalkha,M_NCR
net.acuity.city.ludhiana,M_AMLU
net.acuity.city.bidhannagar,M_KOL
net.acuity.city.gurgaon,M_NCR
net.acuity.city.ghansoli,M_MUM
net.acuity.city.karol_bagh,M_NCR
net.acuity.city.andheri,M_MUM
net.acuity.city.thane,M_MUM
net.acuity.city.royapettah,M_CHE
net.acuity.city.kanakapura,M_BEN
net.acuity.city.ambernath,M_MUM
net.acuity.city.baruipur,M_KOL
net.acuity.city.pudur,M_CHE
net.acuity.city.sion,M_MUM
net.acuity.city.barrackpore,M_KOL
net.acuity.city.sriperumbudur,M_CHE
net.acuity.city.rajarhat_gopalpur,M_KOL
net.acuity.city.vijayawada,M_VISVIJ
net.acuity.city.colaba,M_MUM
net.acuity.city.mylapore,M_CHE
net.acuity.city.kochi,M_ERN
net.acuity.city.faridabad,M_NCR
net.acuity.city.nagpur_city,M_NAG
net.acuity.city.hosur,M_BEN
net.acuity.city.whitefield,M_BEN
net.acuity.city.panvel,M_MUM
net.acuity.city.karjat,M_MUM
net.acuity.city.agra,M_ALAGVA
net.acuity.city.sarjapur,M_BEN
net.acuity.city.kengeri,M_BEN
net.acuity.city.yelahanka,M_BEN
net.acuity.city.mohali,M_CHA
net.acuity.city.indore,M_1PT
net.acuity.city.nungambakkam,M_CHE
net.acuity.city.medchal,M_HYD
net.acuity.city.chennai,M_CHE
net.acuity.city.baranagar,M_KOL
net.acuity.city.dahanu,M_MUM
net.acuity.city.parel,M_MUM
net.acuity.city.surat,M_1PT
net.acuity.city.behala,M_KOL
net.acuity.city.kalkaji,M_NCR
net.acuity.city.gandipet,M_HYD
net.acuity.city.virar,M_MUM
net.acuity.city.ranchi,M_1PT
net.acuity.city.hoskote,M_BEN
net.acuity.city.bidadi,M_BEN
net.acuity.city.madh,M_MUM
net.acuity.city.dharavi,M_MUM
net.acuity.city.kukatpally,M_HYD
net.acuity.city.villivakkam,M_CHE
net.acuity.city.sanpada,M_MUM
net.acuity.city.secunderabad,M_HYD
net.acuity.city.najafgarh,M_NCR
net.acuity.city.hooghly,M_KOL
net.acuity.city.kalwa,M_MUM
net.acuity.city.barasat,M_KOL
net.acuity.city.juhu,M_MUM
