States,city,citygroup,Source
Uttar Pradesh,Agra,Agra,JC - Cohort service
Gujarat,Adalaj,Ahmedabad,JC - Cohort service
Gujarat,Ahmedabad,Ahmedabad,JC - Cohort service
Gujarat,Bareja,Ahmedabad,JC - Cohort service
Gujarat,Dholka,Ahmedabad,JC - Cohort service
Gujarat,Gadha,Ahmedabad,JC - Cohort service
Gujarat,Gandhinagar,Ahmedabad,JC - Cohort service
Gujarat,Naroda,Ahmedabad,JC - Cohort service
Gujarat,Sanand,Ahmedabad,JC - Cohort service
Gujarat,Shyamji Krishna Varma Nagar,Ahmedabad,JC - Cohort service
Gujarat,Vejalpur,Ahmedabad,JC - Cohort service
Gujarat,SabarmatiTaluka,Ahmedabad,JC - Cohort service
Gujarat,Navrangpura,Ahmedabad,JC - Cohort service
Uttar Pradesh,Allahabad,Allahabad,JC - Cohort service
Uttar Pradesh,Kareli,Allahabad,JC - Cohort service
Uttar Pradesh,Naini,Allahabad,JC - Cohort service
Uttar Pradesh,Katra,Allahabad,JC - Cohort service
Uttar Pradesh,Prayagraj,Allahabad,JC - Cohort service
Punjab,Amritsar,Amritsar,JC - Cohort service
Punjab,Tarn Taran,Amritsar,Quantum
Bihar,Aurangabad,Aurangabad,JC - Cohort service
Bihar,Chitegaon,Aurangabad,JC - Cohort service
Bihar,Sillod,Aurangabad,JC - Cohort service
Bihar,Vaijapur,Aurangabad,JC - Cohort service
Karnataka,Anekal,Bangalore,JC - Cohort service
Karnataka,Bangalore,Bangalore,JC - Cohort service
Karnataka,Sarjapur,Bangalore,JC - Cohort service
Karnataka,Whitefield,Bangalore,JC - Cohort service
Karnataka,Yelahanka,Bangalore,JC - Cohort service
Karnataka,Kengeri,Bangalore,JC - Cohort service
Karnataka,Bengaluru,Bangalore,JC - Cohort service
Karnataka,Basavanagudi,Bangalore,Quantum
Karnataka,Channapatna,Bangalore,Quantum
Karnataka,Jayanagar,Bangalore,Quantum
Karnataka,Rajajinagar,Bangalore,Quantum
Madhya Pradesh,Bhopal,Bhopal,JC - Cohort service
Odisha,Bhubaneswar,Bhubaneswar,JC - Cohort service
Odisha,Bhubaneswar Municipal Corporation,Bhubaneswar,JC - Cohort service
Odisha,Khurda,Bhubaneswar,Quantum
Odisha,Cuttack,Bhubaneswar,Quantum
Odisha,Jagatsinghpur,Bhubaneswar,Quantum
Odisha,Khorda,Bhubaneswar,Quantum
Odisha,khordha,Bhubaneswar,Quantum
Odisha,Puri,Bhubaneswar,Quantum
Tamil Nadu,Adambakkam,Chennai,JC - Cohort service
Tamil Nadu,Adyar,Chennai,JC - Cohort service
Tamil Nadu,Alandur,Chennai,JC - Cohort service
Tamil Nadu,Ambattur,Chennai,JC - Cohort service
Tamil Nadu,Chengalpattu,Chennai,JC - Cohort service
Tamil Nadu,Chennai,Chennai,JC - Cohort service
Tamil Nadu,Chromepet,Chennai,JC - Cohort service
Tamil Nadu,Kilpauk,Chennai,JC - Cohort service
Tamil Nadu,Kodambakkam,Chennai,JC - Cohort service
Tamil Nadu,Madipakkam,Chennai,JC - Cohort service
Tamil Nadu,Mylapore,Chennai,JC - Cohort service
Tamil Nadu,Nungambakkam,Chennai,JC - Cohort service
Tamil Nadu,Perambur,Chennai,JC - Cohort service
Tamil Nadu,Perungudi,Chennai,JC - Cohort service
Tamil Nadu,Porur,Chennai,JC - Cohort service
Tamil Nadu,Royapettah,Chennai,JC - Cohort service
Tamil Nadu,Saidapet,Chennai,JC - Cohort service
Tamil Nadu,Sriperumbudur,Chennai,JC - Cohort service
Tamil Nadu,Tambaram,Chennai,JC - Cohort service
Tamil Nadu,Teynampet,Chennai,JC - Cohort service
Tamil Nadu,Vadapalani,Chennai,JC - Cohort service
Tamil Nadu,Chetput,Chennai,JC - Cohort service
Tamil Nadu,Choolai,Chennai,JC - Cohort service
Tamil Nadu,Kanchipuram,Chennai,JC - Cohort service
Tamil Nadu,Pallavaram,Chennai,JC - Cohort service
Tamil Nadu,Tiruvottiyur,Chennai,JC - Cohort service
Tamil Nadu,Villivakkam,Chennai,JC - Cohort service
Tamil Nadu,Virugambakkam,Chennai,JC - Cohort service
Tamil Nadu,Avadi,Chennai,Hotstar
Tamil Nadu,Pudur,Chennai,Hotstar
Tamil Nadu,Ponneri,Chennai,Hotstar
Tamil Nadu,Poonamallee,Chennai,Hotstar
Tamil Nadu,Gummidipundi,Chennai,Hotstar
Tamil Nadu,Vandalur,Chennai,Hotstar
Tamil Nadu,Tiruvallur,Chennai,Hotstar
Tamil Nadu,Navalur,Chennai,Hotstar
Tamil Nadu,Irugur,Coimbatore,JC - Cohort service
Tamil Nadu,Singanallur,Coimbatore,JC - Cohort service
Tamil Nadu,Annur,Coimbatore,JC - Cohort service
Tamil Nadu,Coimbatore,Coimbatore,JC - Cohort service
Tamil Nadu,Madukkarai,Coimbatore,JC - Cohort service
Tamil Nadu,Mettupalayam,Coimbatore,JC - Cohort service
Tamil Nadu,Pollachi,Coimbatore,JC - Cohort service
Tamil Nadu,Sulur,Coimbatore,JC - Cohort service
Tamil Nadu,Tirupur,Coimbatore,JC - Cohort service
Tamil Nadu,Valparai,Coimbatore,JC - Cohort service
Tamil Nadu,Coimbatore South,Coimbatore,JC - Cohort service
Tamil Nadu,Dharapuram,Coimbatore,Quantum
Tamil Nadu,udumalaipettai,Coimbatore,Quantum
Uttarakhand,Dehradun,Dehradun,JC - Cohort service
Uttarakhand,Roorkee,Dehradun,Quantum
National Capital Territory of Delhi,Badarpur,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Alipur,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Badarpur,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Bawana,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Ballabgarh,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Ambedkar Nagar,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Dasna,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Kaushambi,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Loni,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Sahibabad,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Kasan,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Khandsa,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Manesar,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Chattarpur,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Connaught Place,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Darya Ganj,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Delhi,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Jharoda Kalan,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Kalkaji,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Karol Bagh,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Mehrauli,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Najafgarh,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Narela,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,New Delhi,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Samalkha,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Shahdara,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Bhiwani,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Faridabad City,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Gurgaon,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Murthal,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Sector 20,Delhi-NCR,JC - Cohort service
