,city_smaller_name,netacuity_id_x,CITY-CODE,short_name,REGION,check_code
0,itanagar,1804,1804.0,ar,ar,True
1,pune,7387,7387.0,mh,mh,True
2,new delhi,10238,10238.0,dl,dl,True
3,calcutta,10326,10326.0,wb,wb,True
4,delhi,10358,10358.0,dl,dl,True
5,bangalore,11115,11115.0,ka,ka,True
6,mathura,14285,14285.0,up,up,True
7,mangalore,14291,14291.0,ka,ka,True
8,hyderabad,14361,14361.0,ts,ts,True
9,allahabad,14363,14363.0,up,up,True
10,faridabad city,14364,14364.0,hr,hr,True
11,puducherry,14366,14366.0,py,py,True
12,mysore,14379,14379.0,ka,ka,True
13,dehradun,14380,14380.0,uk,uk,True
14,chandigarh,14381,14381.0,ch,ch,True
15,lucknow,14382,14382.0,up,up,True
16,nagpur city,14384,14384.0,mh,mh,True
17,kanpur,14385,14385.0,up,up,True
18,gwalior city,14386,14386.0,mp,mp,True
19,madurai,14387,14387.0,tn,tn,True
20,kottayam,14388,14388.0,kl,kl,True
21,shillong,14389,14389.0,ml,ml,True
22,silchar,14390,14390.0,as,as,True
23,agartala,14391,14391.0,tr,tr,True
24,bhopal,14392,14392.0,mp,mp,True
25,simla,14393,14393.0,rj,rj,True
26,surat,14394,14394.0,gj,gj,True
27,amritsar,14395,14395.0,pb,pb,True
28,ambala,14519,14519.0,hr,hr,True
29,warangal,14520,14520.0,ts,ts,True
30,vadodara,14521,14521.0,gj,gj,True
31,vijayawada,14522,14522.0,ap,ap,True
32,guwahati,14523,14523.0,as,as,True
33,udaipur,14524,14524.0,rj,rj,True
34,bhubaneswar,14525,14525.0,od,od,True
35,anand,14526,14526.0,gj,gj,True
36,varanasi,14527,14527.0,up,up,True
37,valsad,14529,14529.0,gj,gj,True
38,coimbatore,14530,14530.0,tn,tn,True
39,ludhiana,14531,14531.0,pb,pb,True
40,tumkur,14532,14532.0,ka,ka,True
41,shimoga,14533,14533.0,ka,ka,True
42,belgaum,14534,14534.0,ka,ka,True
43,kota,14557,14557.0,rj,rj,True
44,nanded,14689,14689.0,mh,mh,True
45,bharuch,14691,14691.0,gj,gj,True
46,solapur,14692,14692.0,mh,mh,True
47,kolhapur,14693,14693.0,mh,mh,True
48,sangli,14694,14694.0,mh,mh,True
49,dhanbad,14695,14695.0,jh,jh,True
50,sivakasi,14697,14697.0,tn,tn,True
51,vellore,14698,14698.0,tn,tn,True
52,gurgaon,16050,16050.0,hr,hr,True
53,chennai,19586,19586.0,tn,tn,True
54,chitradurga,19995,19995.0,ka,ka,True
55,thanjavur,19997,19997.0,tn,tn,True
56,thiruvananthapuram,20019,20019.0,kl,kl,True
57,jakhau,33580,33580.0,gj,gj,True
58,mumbai,34785,34785.0,mh,mh,True
59,visakhapatnam,39542,39542.0,ap,ap,True
60,jaipur,39767,39767.0,rj,rj,True
61,gondia,39788,39788.0,mh,mh,True
62,ghaziabad,39922,39922.0,up,up,True
63,noida,40344,40344.0,up,up,True
64,erode,41467,41467.0,tn,tn,True
65,haridwar,41469,41469.0,uk,uk,True
66,jamshedpur,43193,43193.0,jh,jh,True
67,panipat,43814,43814.0,hr,hr,True
68,indore,43815,43815.0,mp,mp,True
69,periyakulam,43816,43816.0,tn,tn,True
70,jabalpur,43818,43818.0,mp,mp,True
71,jamnagar,43835,43835.0,gj,gj,True
72,haldwani,44106,44106.0,uk,uk,True
73,sangrur,44155,44155.0,pb,pb,True
74,rajkot,44437,44437.0,gj,gj,True
75,nellore,44438,44438.0,ap,ap,True
76,salem,44587,44587.0,tn,tn,True
77,kakinada,44614,44614.0,ap,ap,True
78,jammu,44617,44617.0,jk,jk,True
79,tirunelveli,44750,44750.0,tn,tn,True
80,manaparai,44963,44963.0,tn,tn,True
81,kalyan city,45106,45106.0,mh,mh,True
82,bidar,45419,45419.0,ka,ka,True
83,balangir,45705,45705.0,od,od,True
84,karnal,45706,45706.0,hr,hr,True
85,surathkal,47558,,ka,,False
