name|netacuity_id|targeting_tag|state_id
Nuni|938338|CITY_NUNI|52001309
Faridpur Durgapur|665008|CITY_FARIDPUR_DURGAPUR|52001309
Hayatnagar|1349483|CITY_HAYATNAGAR|52033962
Navimumbai|664977|CITY_NAVIMUMBAI|52001320
Ambarnath|726303|CITY_AMBARNATH|52001320
Bandlaguda|871211|CITY_BANDLAGUDA|52033962
Manipur|1355780|CITY_MANIPUR|52001309
Shaikpet|955307|CITY_SHAIKPET|52033962
Kamalpur|1346965|CITY_KAMALPUR|52010031
Bindapur|879151|CITY_BINDAPUR|52010008
Thakarwal|962381|CITY_THAKARWAL|52010031
Bahadurpura|1349355|CITY_BAHADURPURA|52033962
Serilingampally|739684|CITY_SERILINGAMPALLY|52033962
Rajendranagar|1349741|CITY_RAJENDRANAGAR|52033962
Andheri East|741686|CITY_ANDHERI_EAST|52001320
Harrawala|901029|CITY_HARRAWALA|52028102
Maheshpur|1355769|CITY_MAHESHPUR|52001309
Lakshminagar|923153|CITY_LAKSHMINAGAR|52009994
Budhera Zahidpur|880830|CITY_BUDHERA_ZAHIDPUR|52010044
Suraram|959944|CITY_SURARAM|52033962
Azimgarh|1346575|CITY_AZIMGARH|52010031
Daudpur|1346791|CITY_DAUDPUR|52010031
Deviwala|889123|CITY_DEVIWALA|52010031
Jamsaut|904824|CITY_JAMSAUT|52009998
Almasguda|864814|CITY_ALMASGUDA|52033962
Daskroi|664957|CITY_DASKROI|52010002
Chinnachowk|885245|CITY_CHINNACHOWK|52009994
Kadadakatte|907771|CITY_KADADAKATTE|52010011
Kopar|1341893|CITY_KOPAR|52001320
Ramakrishnapuram|1333295|CITY_RAMAKRISHNAPURAM|52009994
Joshpur|907289|CITY_JOSHPUR|52001309
Diva|891630|CITY_DIVA|52001320
Saidabad|950976|CITY_SAIDABAD|52033962
Dalanpur|1346777|CITY_DALANPUR|52010031
Kothaguda|1349560|CITY_KOTHAGUDA|52033962
Bandamkommu|871012|CITY_BANDAMKOMMU|52033962
Chandpur|1355580|CITY_CHANDPUR|52001309
Adhartal|863423|CITY_ADHARTAL|52010027
Model Town|931755|CITY_MODEL_TOWN|52010044
Habibpur|899686|CITY_HABIBPUR|52001309
Babarpur|867980|CITY_BABARPUR|52009999
Kharghar|726324|CITY_KHARGHAR|52001320
Viman Nagar|726364|CITY_VIMAN_NAGAR|52001320
Dive|891634|CITY_DIVE|52001320
Kopar Khairne|664975|CITY_KOPAR_KHAIRNE|52001320
Gobindapur|1355638|CITY_GOBINDAPUR|52001309
Golegaon|897637|CITY_GOLEGAON|52001320
Narnur|936367|CITY_NARNUR|52009994
Belapur Node-- Iii|664972|CITY_BELAPUR_NODE--_III|52001320
Mallampet|927662|CITY_MALLAMPET|52033962
Nasirpur|1336517|CITY_NASIRPUR|52009999
Nimri|937914|CITY_NIMRI|52009999
Bham|1341343|CITY_BHAM|52001320
Jaykrishnapur|905859|CITY_JAYKRISHNAPUR|52001309
Nerul Node-Ii|664978|CITY_NERUL_NODE-II|52001320
Sharfabad|955526|CITY_SHARFABAD|52010044
Sadhanpur|950468|CITY_SADHANPUR|52001309
Kokapet|918329|CITY_KOKAPET|52033962
Sagarpur|741533|CITY_SAGARPUR|52009999
Raghunathpur|659917|CITY_RAGHUNATHPUR|52001309
Narayanpur|1355801|CITY_NARAYANPUR|52001309
Bahadurpalli|869081|CITY_BAHADURPALLI|52033962
Sohana|1347383|CITY_SOHANA|52010031
Ranhola|948254|CITY_RANHOLA|52009999
Manikonda|1349634|CITY_MANIKONDA|52033962
Vavdi|966721|CITY_VAVDI|52010002
Mangasamudram|928573|CITY_MANGASAMUDRAM|52009994
Saroli|1336999|CITY_SAROLI|52010002
Gajuwaka|726047|CITY_GAJUWAKA|52009994
Dohla|891857|CITY_DOHLA|52010031
Katlaur|913333|CITY_KATLAUR|52010031
Chaudhari Ka Purwa|883531|CITY_CHAUDHARI_KA_PURWA|52010044
Balarampur|870118|CITY_BALARAMPUR|52001309
Vellanur|966914|CITY_VELLANUR|52010036
Vasant Kunj|726141|CITY_VASANT_KUNJ|52009999
Zira|726449|CITY_ZIRA|52010031
Hatgacha|901261|CITY_HATGACHA|52001309
Danda|1341475|CITY_DANDA|52001320
Pedagantyada|942990|CITY_PEDAGANTYADA|52009994
Mugalivakkam|932708|CITY_MUGALIVAKKAM|52010036
Muhana|1348760|CITY_MUHANA|52010035
Nalegaon|935336|CITY_NALEGAON|52001320
Sibpur|956086|CITY_SIBPUR|52001309
Jagadishpur|903647|CITY_JAGADISHPUR|52001309
Mathurapur|1355785|CITY_MATHURAPUR|52001309
Pattapupalem|942754|CITY_PATTAPUPALEM|52009994
Rajapur|1355846|CITY_RAJAPUR|52001309
Burari|740977|CITY_BURARI|52009999
Salcete|1398509|CITY_SALCETE|52023819
Balaga|870010|CITY_BALAGA|52009994
Kumbharia|1336819|CITY_KUMBHARIA|52010002
Baghamau|868761|CITY_BAGHAMAU|52010044
Dubgaria|892344|CITY_DUBGARIA|52001309
Khora|1352491|CITY_KHORA|52010044
Pali|1342144|CITY_PALI|52001320
Krishnarayapuram|920085|CITY_KRISHNARAYAPURAM|52010036
Kumpur|1347043|CITY_KUMPUR|52010031
Mundhva|726334|CITY_MUNDHVA|52001320
Damodarpur|1355596|CITY_DAMODARPUR|52001309
Pabbapuram|938769|CITY_PABBAPURAM|52009994
Ibrahimpatnam|1349486|CITY_IBRAHIMPATNAM|52033962
Malian|927523|CITY_MALIAN|52010031
Rani Bagh|1336521|CITY_RANI_BAGH|52009999
Basapura|873421|CITY_BASAPURA|52010011
Salt Lake|666975|CITY_SALT_LAKE|52001309
Shalamar|955354|CITY_SHALAMAR|52009999
Greater Noida|659310|CITY_GREATER_NOIDA|52010044
Ulwa|965267|CITY_ULWA|52001320
Azimganj|1355491|CITY_AZIMGANJ|52001309
Baddi|726181|CITY_BADDI|52024787
Kattupakkam|913508|CITY_KATTUPAKKAM|52010036
Anna Nagar|726522|CITY_ANNA_NAGAR|52010036
Thakurganj|1354421|CITY_THAKURGANJ|52010044
Agraharam|1333076|CITY_AGRAHARAM|52009994
Dodhpur|891787|CITY_DODHPUR|52010044
Baniara|1355519|CITY_BANIARA|52001309
Kalyan Rs|660129|CITY_KALYAN_RS|52001320
Baprola|871930|CITY_BAPROLA|52009999
Parulia|941972|CITY_PARULIA|52001309
Bhuwana|878365|CITY_BHUWANA|52010035
Mamudpur|1355776|CITY_MAMUDPUR|52001309
Harirampur|900789|CITY_HARIRAMPUR|52001309
Siraspur|957334|CITY_SIRASPUR|52009999
Besa|875056|CITY_BESA|52001320
Mundakkal|1341153|CITY_MUNDAKKAL|52010018
Chhapraula|884261|CITY_CHHAPRAULA|52010044
Ratanpur|1355861|CITY_RATANPUR|52001309
Kandi|1355706|CITY_KANDI|52001309
Kalkulam|664993|CITY_KALKULAM|52010036
Akhaipura|864224|CITY_AKHAIPURA|52010035
Jayrampur|905862|CITY_JAYRAMPUR|52001309
Bavdhan|874084|CITY_BAVDHAN|52001320
Vasundhra|966692|CITY_VASUNDHRA|52010044
Rithala|949659|CITY_RITHALA|52009999
Shahpur Jat|1336524|CITY_SHAHPUR_JAT|52009999
Bicholi Mardana|878475|CITY_BICHOLI_MARDANA|52010027
Chak Basantpur|881592|CITY_CHAK_BASANTPUR|52010044
Jakkampudi|904186|CITY_JAKKAMPUDI|52009994
Raninagar|948333|CITY_RANINAGAR|52001309
Sankrail|952672|CITY_SANKRAIL|52001309
Bhagabanpur|738200|CITY_BHAGABANPUR|52001309
Faridpur|1355619|CITY_FARIDPUR|52001309
Haibatpur|899806|CITY_HAIBATPUR|52010044
Hosa Road|902285|CITY_HOSA_ROAD|52010036
Bhagirath Pura|875477|CITY_BHAGIRATH_PURA|52010027
Chhajarsi|884110|CITY_CHHAJARSI|52010044
Vaddepalem|966124|CITY_VADDEPALEM|52009994
Medipalle|930707|CITY_MEDIPALLE|52033962
Sakipur|951324|CITY_SAKIPUR|52010044
Khanapur|1349540|CITY_KHANAPUR|52033962
